Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 10; 0.9620; 592; 51; 9; 929; 7.93; 0.96; 0.9555
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 20; 0.9652; 595; 48; 7; 931; 7.47; 0.75; 0.9589
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 50; 0.9709; 607; 36; 10; 928; 5.60; 1.07; 0.9667
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 100; 0.9715; 606; 37; 8; 930; 5.75; 0.85; 0.9670
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 5; 0.9488; 566; 77; 4; 934; 11.98; 0.43; 0.9380
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 10; 0.9703; 601; 42; 5; 933; 6.53; 0.53; 0.9647
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 20; 0.9772; 613; 30; 6; 932; 4.67; 0.64; 0.9735
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 50; 0.9728; 606; 37; 6; 932; 5.75; 0.64; 0.9680
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 100; 0.9728; 606; 37; 6; 932; 5.75; 0.64; 0.9680
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 2; 0.9703; 618; 25; 22; 916; 3.89; 2.35; 0.9688
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 5; 0.9614; 608; 35; 26; 912; 5.44; 2.77; 0.9589
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 10; 0.9671; 609; 34; 18; 920; 5.29; 1.92; 0.9640
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 20; 0.9646; 611; 32; 24; 914; 4.98; 2.56; 0.9623
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 50; 0.9722; 612; 31; 13; 925; 4.82; 1.39; 0.9690
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 100; 0.9779; 623; 20; 15; 923; 3.11; 1.60; 0.9765
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 10; 0.9620; 592; 51; 9; 929; 7.93; 0.96; 0.9555
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 20; 0.9652; 595; 48; 7; 931; 7.47; 0.75; 0.9589
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 50; 0.9703; 606; 37; 10; 928; 5.75; 1.07; 0.9659
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 100; 0.9715; 606; 37; 8; 930; 5.75; 0.85; 0.9670
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 5; 0.9488; 566; 77; 4; 934; 11.98; 0.43; 0.9380
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 10; 0.9703; 601; 42; 5; 933; 6.53; 0.53; 0.9647
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 20; 0.9785; 613; 30; 4; 934; 4.67; 0.43; 0.9745
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 50; 0.9785; 615; 28; 6; 932; 4.35; 0.64; 0.9750
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 100; 0.9753; 610; 33; 6; 932; 5.13; 0.64; 0.9711
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.PCA; 2; 0.9671; 614; 29; 23; 915; 4.51; 2.45; 0.9652
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.PCA; 5; 0.9595; 609; 34; 30; 908; 5.29; 3.20; 0.9576
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.PCA; 10; 0.9627; 607; 36; 23; 915; 5.60; 2.45; 0.9597
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.PCA; 20; 0.9703; 617; 26; 21; 917; 4.04; 2.24; 0.9686
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.PCA; 50; 0.9614; 617; 26; 35; 903; 4.04; 3.73; 0.9611
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.PCA; 100; 0.9646; 615; 28; 28; 910; 4.35; 2.99; 0.9633
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.KBEST; 10; 0.9620; 592; 51; 9; 929; 7.93; 0.96; 0.9555
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.KBEST; 20; 0.9652; 595; 48; 7; 931; 7.47; 0.75; 0.9589
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.KBEST; 50; 0.9703; 606; 37; 10; 928; 5.75; 1.07; 0.9659
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.KBEST; 100; 0.9715; 607; 36; 9; 929; 5.60; 0.96; 0.9672
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.RFE; 5; 0.9488; 566; 77; 4; 934; 11.98; 0.43; 0.9380
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.RFE; 10; 0.9703; 601; 42; 5; 933; 6.53; 0.53; 0.9647
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.RFE; 20; 0.9766; 612; 31; 6; 932; 4.82; 0.64; 0.9727
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.RFE; 50; 0.9747; 609; 34; 6; 932; 5.29; 0.64; 0.9704
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.RFE; 100; 0.9747; 610; 33; 7; 931; 5.13; 0.75; 0.9706
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.PCA; 2; 0.9576; 604; 39; 28; 910; 6.07; 2.99; 0.9547
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.PCA; 5; 0.9595; 608; 35; 29; 909; 5.44; 3.09; 0.9573
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.PCA; 10; 0.9677; 612; 31; 20; 918; 4.82; 2.13; 0.9652
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.PCA; 20; 0.9627; 607; 36; 23; 915; 5.60; 2.45; 0.9597
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.PCA; 50; 0.9709; 615; 28; 18; 920; 4.35; 1.92; 0.9686
DecisionTreeClassifier(criterion='entropy', max_depth=25, min_samples_leaf=2)+FS.PCA; 100; 0.9690; 612; 31; 18; 920; 4.82; 1.92; 0.9663
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 2; 0.8115; 347; 296; 2; 936; 46.03; 0.21; 0.7688
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 10; 0.9456; 562; 81; 5; 933; 12.60; 0.53; 0.9343
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 20; 0.9551; 577; 66; 5; 933; 10.26; 0.53; 0.9460
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 50; 0.9658; 595; 48; 6; 932; 7.47; 0.64; 0.9595
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 100; 0.9766; 610; 33; 4; 934; 5.13; 0.43; 0.9722
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 2; 0.9418; 554; 89; 3; 935; 13.84; 0.32; 0.9292
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 5; 0.9418; 554; 89; 3; 935; 13.84; 0.32; 0.9292
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 10; 0.9412; 553; 90; 3; 935; 14.00; 0.32; 0.9284
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 20; 0.9450; 561; 82; 5; 933; 12.75; 0.53; 0.9336
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 50; 0.9658; 595; 48; 6; 932; 7.47; 0.64; 0.9595
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 100; 0.9741; 610; 33; 8; 930; 5.13; 0.85; 0.9701
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 2; 0.8115; 347; 296; 2; 936; 46.03; 0.21; 0.7688
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 10; 0.9576; 584; 59; 8; 930; 9.18; 0.85; 0.9499
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 20; 0.9557; 578; 65; 5; 933; 10.11; 0.53; 0.9468
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 50; 0.9602; 584; 59; 4; 934; 9.18; 0.43; 0.9520
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 100; 0.9589; 581; 62; 3; 935; 9.64; 0.32; 0.9502
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 2; 0.9405; 557; 86; 8; 930; 13.37; 0.85; 0.9289
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 5; 0.9247; 528; 115; 4; 934; 17.88; 0.43; 0.9084
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 10; 0.9254; 529; 114; 4; 934; 17.73; 0.43; 0.9092
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 20; 0.9216; 523; 120; 4; 934; 18.66; 0.43; 0.9046
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 50; 0.9292; 533; 110; 2; 936; 17.11; 0.21; 0.9134
SVC(C=0.1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 100; 0.9241; 524; 119; 1; 937; 18.51; 0.11; 0.9069
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 2; 0.8115; 347; 296; 2; 936; 46.03; 0.21; 0.7688
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 10; 0.9456; 562; 81; 5; 933; 12.60; 0.53; 0.9343
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 20; 0.9526; 573; 70; 5; 933; 10.89; 0.53; 0.9429
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 50; 0.9627; 590; 53; 6; 932; 8.24; 0.64; 0.9556
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 100; 0.9766; 607; 36; 1; 937; 5.60; 0.11; 0.9715
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.PCA; 2; 0.9260; 529; 114; 3; 935; 17.73; 0.32; 0.9098
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.PCA; 5; 0.9323; 538; 105; 2; 936; 16.33; 0.21; 0.9173
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.PCA; 10; 0.9292; 532; 111; 1; 937; 17.26; 0.11; 0.9132
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.PCA; 20; 0.9330; 539; 104; 2; 936; 16.17; 0.21; 0.9181
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.PCA; 50; 0.9526; 574; 69; 6; 932; 10.73; 0.64; 0.9431
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='linear')+FS.PCA; 100; 0.9677; 599; 44; 7; 931; 6.84; 0.75; 0.9621
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 2; 0.8115; 347; 296; 2; 936; 46.03; 0.21; 0.7688
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 5; 0.9058; 499; 144; 5; 933; 22.40; 0.53; 0.8854
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 10; 0.9336; 547; 96; 9; 929; 14.93; 0.96; 0.9206
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 20; 0.9450; 561; 82; 5; 933; 12.75; 0.53; 0.9336
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 50; 0.9513; 570; 73; 4; 934; 11.35; 0.43; 0.9411
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 100; 0.9545; 573; 70; 2; 936; 10.89; 0.21; 0.9445
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 2; 0.9241; 528; 115; 5; 933; 17.88; 0.53; 0.9079
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 5; 0.9045; 495; 148; 3; 935; 23.02; 0.32; 0.8833
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 10; 0.9070; 499; 144; 3; 935; 22.40; 0.32; 0.8864
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 20; 0.9064; 496; 147; 1; 937; 22.86; 0.11; 0.8852
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 50; 0.9077; 498; 145; 1; 937; 22.55; 0.11; 0.8867
SVC(C=0.1, class_weight={0: 10, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 100; 0.9114; 504; 139; 1; 937; 21.62; 0.11; 0.8914
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 2; 0.8115; 347; 296; 2; 936; 46.03; 0.21; 0.7688
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 10; 0.9456; 562; 81; 5; 933; 12.60; 0.53; 0.9343
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 20; 0.9551; 577; 66; 5; 933; 10.26; 0.53; 0.9460
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 50; 0.9690; 599; 44; 5; 933; 6.84; 0.53; 0.9631
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 100; 0.9817; 616; 27; 2; 936; 4.20; 0.21; 0.9779
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 2; 0.9418; 554; 89; 3; 935; 13.84; 0.32; 0.9292
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 5; 0.9418; 554; 89; 3; 935; 13.84; 0.32; 0.9292
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 10; 0.9424; 555; 88; 3; 935; 13.69; 0.32; 0.9300
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 20; 0.9431; 558; 85; 5; 933; 13.22; 0.53; 0.9312
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 50; 0.9658; 595; 48; 6; 932; 7.47; 0.64; 0.9595
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.PCA; 100; 0.9766; 617; 26; 11; 927; 4.04; 1.17; 0.9739
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 2; 0.8115; 347; 296; 2; 936; 46.03; 0.21; 0.7688
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 5; 0.9235; 527; 116; 5; 933; 18.04; 0.53; 0.9071
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 10; 0.9386; 557; 86; 11; 927; 13.37; 1.17; 0.9273
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 20; 0.9507; 573; 70; 8; 930; 10.89; 0.85; 0.9413
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 50; 0.9576; 581; 62; 5; 933; 9.64; 0.53; 0.9491
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.KBEST; 100; 0.9627; 590; 53; 6; 932; 8.24; 0.64; 0.9556
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 2; 0.9317; 548; 95; 13; 925; 14.77; 1.39; 0.9192
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 5; 0.9266; 542; 101; 15; 923; 15.71; 1.60; 0.9135
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 10; 0.9171; 531; 112; 19; 919; 17.42; 2.03; 0.9028
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 20; 0.9209; 533; 110; 15; 923; 17.11; 1.60; 0.9065
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 50; 0.9367; 552; 91; 9; 929; 14.15; 0.96; 0.9244
SVC(C=1, class_weight={0: 5, 1: 1}, degree=2, kernel='sigmoid')+FS.PCA; 100; 0.9494; 572; 71; 9; 929; 11.04; 0.96; 0.9400
SVC(C=10, class_weight={0: 5, 1: 1}, degree=2, kernel='linear')+FS.KBEST; 2; 0.8115; 347; 296; 2; 936; 46.03; 0.21; 0.7688
